Record No,Programme code,Study Year,Academic Year,Course,Course Type
R1,10001,1,2013-2014,1204,compulsory
R2,10001,1,2013-2014,1082,compulsory
R3,10001,1,2013-2014,1190,compulsory
R4,10001,1,2013-2014,1009,compulsory
R5,10001,1,2013-2014,1264,elective
R6,10001,1,2013-2014,1161,elective
R7,10001,1,2013-2014,1076,elective
R8,10001,1,2013-2014,1055,elective
R9,10001,1,2013-2014,1048,elective
R10,10001,1,2013-2014,1007,elective
R11,10001,1,2014-2015,1124,compulsory
R12,10001,1,2014-2015,1019,compulsory
R13,10001,1,2014-2015,1193,compulsory-elective
R14,10001,1,2014-2015,1108,compulsory-elective
R15,10001,1,2014-2015,1063,compulsory-elective
R16,10001,1,2014-2015,1050,compulsory-elective
R17,10001,1,2014-2015,1256,elective
R18,10001,1,2014-2015,1240,elective
R19,10001,1,2014-2015,1159,elective
R20,10001,1,2014-2015,1107,elective
R21,10001,1,2014-2015,1068,elective
R22,10001,1,2014-2015,1048,elective
R23,10001,1,2015-2016,1256,compulsory
R24,10001,1,2015-2016,1251,compulsory
R25,10001,1,2015-2016,1269,compulsory
R26,10001,1,2015-2016,1200,compulsory
R27,10001,1,2015-2016,1290,elective
R28,10001,1,2015-2016,1197,elective
R29,10001,1,2015-2016,1147,elective
R30,10001,1,2015-2016,1123,elective
R31,10001,1,2015-2016,1052,elective
R32,10001,1,2016-2017,1186,compulsory
R33,10001,1,2016-2017,1102,compulsory
R34,10001,1,2016-2017,1227,compulsory-elective
R35,10001,1,2016-2017,1089,compulsory-elective
R36,10001,1,2016-2017,1084,compulsory-elective
R37,10001,1,2016-2017,1021,compulsory-elective
R38,10001,1,2016-2017,1252,elective
R39,10001,1,2016-2017,1172,elective
R40,10001,1,2016-2017,1158,elective
R41,10001,1,2016-2017,1091,elective
R42,10001,1,2016-2017,1045,elective
R43,10001,1,2017-2018,1272,compulsory
R44,10001,1,2017-2018,1248,compulsory
R45,10001,1,2017-2018,1232,compulsory
R46,10001,1,2017-2018,1006,compulsory
R47,10001,1,2017-2018,1241,elective
R48,10001,1,2017-2018,1215,elective
R49,10001,1,2017-2018,1090,elective
R50,10001,1,2017-2018,1085,elective
R51,10001,1,2017-2018,1082,elective
R52,10001,1,2017-2018,1033,elective
R53,10001,1,2018-2019,1144,compulsory
R54,10001,1,2018-2019,1250,compulsory-elective
R55,10001,1,2018-2019,1243,compulsory-elective
R56,10001,1,2018-2019,1147,compulsory-elective
R57,10001,1,2018-2019,1133,compulsory-elective
R58,10001,1,2018-2019,1239,elective
R59,10001,1,2018-2019,1220,elective
